File,left_x,left_x_sd,left_y,left_y_sd,right_x,right_x_sd,right_y,right_y_sd
athlete,1.22904255,0.039566233,1.188081234,0.026259899,1.202701706,0.033559287,1.25222028,0.017089443
athlete,1.281311771,0.032312267,1.220162934,0.02536026,1.341497577,0.024245827,1.251013669,0.019219493
athlete,1.318817117,0.028228165,1.298878085,0.013907388,1.287840548,0.023470568,1.22885339,0.014869478
athlete,1.263719141,0.02419648,1.199038912,0.024926348,1.163717082,0.031253309,1.191476044,0.015770653
athlete,1.2835435,0.02663253,1.184680534,0.019505469,1.212316209,0.024630117,1.156829656,0.021980534
athlete,1.18453486,0.027495211,1.189085966,0.020184228,1.174571009,0.026648922,1.154501877,0.014384517
athlete,1.157581535,0.025406323,1.193823963,0.01873555,1.26110676,0.022745769,1.186035732,0.018379276
athlete,1.218309179,0.031092532,1.206742319,0.020337249,1.196878463,0.022982601,1.174427446,0.020062199
athlete,1.176964824,0.023726633,1.191233737,0.014310897,1.219748187,0.019174758,1.201705591,0.021457326
athlete,1.323045791,0.030429319,1.225478844,0.02377517,1.28535631,0.027792478,1.204462361,0.023667095
athlete,1.193107496,0.024206511,1.160781067,0.019962947,1.209461842,0.021656894,1.159667045,0.024138614
athlete,1.207493899,0.028013812,1.121256638,0.021134251,1.251190105,0.022843774,1.148782306,0.021108139
athlete,1.228427359,0.032197778,1.237455247,0.016314375,1.215314055,0.03129631,1.196183564,0.013367523
athlete,1.245191899,0.025396377,1.187762833,0.01782677,1.235641597,0.027812433,1.203385246,0.025926194
athlete,1.248649025,0.024668853,1.18457805,0.017587056,1.243062445,0.02411956,1.165312307,0.02765919
athlete,1.22942836,0.029583732,1.191703987,0.020234528,1.254957667,0.026034709,1.213435396,0.020445924
athlete,1.199820356,0.022233861,1.15299684,0.021876558,1.162978396,0.028049264,1.146787223,0.018268637
athlete,1.208633292,0.029277472,1.158474465,0.02306725,1.217049459,0.025820846,1.177451243,0.019860696
athlete,1.240066429,0.020534276,1.165192427,0.014394141,1.234779111,0.023002462,1.134343799,0.015008669
athlete,1.165890351,0.021732795,1.140399446,0.018884092,1.157670785,0.03100258,1.137837912,0.01696474
normal,1.221811504,0.027636916,1.173210573,0.018738705,1.2505972,0.022998078,1.152810732,0.025243641
normal,1.298715512,0.029976269,1.174343939,0.030730971,1.294082772,0.026640311,1.227843,0.026302912
normal,1.266225652,0.030668539,1.212906895,0.019449363,1.232786781,0.030979564,1.179133689,0.031970077
normal,1.223365973,0.03927198,1.22045388,0.032949631,1.274630356,0.036995356,1.224127386,0.031596268
normal,1.223533799,0.034785682,1.130753012,0.033277141,1.194447575,0.025609642,1.145693694,0.020394777
normal,1.220337123,0.031951272,1.221526738,0.028301495,1.216831468,0.030373166,1.283403377,0.035052759
normal,1.206775513,0.034911478,1.202871604,0.024663319,1.198874244,0.051582915,1.208613679,0.033572495
normal,1.303597919,0.025253426,1.277370785,0.026502663,1.347116008,0.023729142,1.252465707,0.020946465
normal,1.23957855,0.048825881,1.223304623,0.0272614,1.297261597,0.031584378,1.253698772,0.023578959
normal,1.317595412,0.035892721,1.214306876,0.031138977,1.33354932,0.028786776,1.215689297,0.026129465
normal,1.244692093,0.03714937,1.169062465,0.055537766,1.235012419,0.025863327,1.148126637,0.031251557
subject,1.114548996,0.036941508,1.109775657,0.031326328,1.089502784,0.038720753,1.075162549,0.027617723
