KINVENT Physio 2.17.3,Devices: ,P126936 (FW 3.016),P126695 (FW 3.016)
Eyes Condition: ,Closed
Side: ,Left
Repetition:,1
Longitudinal Mean Cop Position (mm),-40.933
Lateral Mean Cop Position (mm),4.355
Longitudinal Standard Deviation (mm),10.014
Lateral Standard Deviation (mm),8.497
Ellipse Surface (mm²),1578.395
Total Displacement (mm),3799.898
Total Displacement AP (mm),2349.621
Total Displacement ML (mm),2568.208
Mean Velocity (mm/s),63.252
Mean Velocity AP (mm/s),39.111
Mean Velocity ML (mm/s),42.749
Longitudinal Amplitude (mm/s),59.808
Lateral Amplitude (mm/s),40.181
Amplitude Ratio,0.672
Phase Plane AP (mm),54.535
Phase Plane ML (mm),42.413
Max Distance AP (mm),74.865
Max Distance ML (mm),27.103
,Heel,Tip
Weight Distribution (%),64.0,36.0

,K-Plate Left,,,,,K-Plate Left,
Time (sec),CHANNEL_1,CHANNEL_2,CHANNEL_3,CHANNEL_4,,AP COP (y),ML COP (x)
0,21.349599838256836,24.491100311279297,14.224049568176270,10.386899948120117,,0.6276,0.5358,
0.004,21.368799209594727,24.479099273681641,14.253849983215332,10.491999626159668,,0.6266,0.5352,
0.008,21.379883731505767,24.472081945668819,14.271022513744898,10.551207593059811,,0.6260,0.5348,
0.012,21.386385036247610,24.467837251001242,14.281235177500783,10.580053708795988,,0.6257,0.5346,
0.016,21.391031045727409,24.465109718652194,14.287627143018339,10.588298584164615,,0.6256,0.5346,
0.02,21.396144725570167,24.461850822973084,14.290203569276576,10.584603473968379,,0.6256,0.5346,
0.024,21.403221948229223,24.456865526550946,14.288561963039676,10.575643458533765,,0.6257,0.5346,
0.028,21.412922279419835,24.452050368612596,14.284726342288073,10.565924725219201,,0.6258,0.5345,
0.032,21.424365921837786,24.447342633587162,14.280867950319626,10.558556804474872,,0.6259,0.5345,
0.036,21.436295147491226,24.440742605952138,14.276909000980902,10.554986166007634,,0.6260,0.5344,
0.040100000023841856,21.448823681790898,24.433168210152793,14.272184612928093,10.555247962875612,,0.6261,0.5342,
0.04410000002384186,21.462282733245011,24.425168339483541,14.266978966366946,10.559381341055836,,0.6261,0.5341,
0.048100000023841856,21.476338452702908,24.415698823601389,14.261611503249673,10.566826375990093,,0.6261,0.5339,
0.05210000002384186,21.489462736043976,24.405594123197300,14.255743400031628,10.575119366278022,,0.6261,0.5337,
0.056100000023841856,21.500549730084636,24.395591806277267,14.249301726779478,10.581177461183936,,0.6261,0.5335,
0.06010000002384186,21.510388502052038,24.384472336499229,14.242645097965381,10.583791071524104,,0.6261,0.5334,
0.06410000002384186,21.518898816449710,24.370933089595177,14.235499330521225,10.583964096638557,,0.6262,0.5332,
0.06810000002384185,21.524335958814817,24.354203328715272,14.228166752518064,10.583888365492298,,0.6262,0.5331,
0.07210000002384186,21.525135431242255,24.333049210548278,14.219844438915583,10.585669385730094,,0.6261,0.5329,
0.07610000002384186,21.520137639222757,24.305180940140922,14.208745695095280,10.588815927853542,,0.6261,0.5328,
0.08,21.508884782491236,24.269350272922750,14.196993597079896,10.591240071727002,,0.6259,0.5326,
0.084,21.492395499894609,24.226677853201302,14.187261838028000,10.593070904696422,,0.6258,0.5324,
0.088,21.472322251720961,24.179107981810205,14.179296091039795,10.595888920785683,,0.6255,0.5323,
0.092,21.449889886973104,24.128847867904735,14.172870454419057,10.600307387836477,,0.6252,0.5321,
0.096,21.425314651650378,24.077163679314125,14.168703208539428,10.605584097128823,,0.6249,0.5319,
0.1,21.398847005243120,24.024184844586806,14.166677252092438,10.610339815632038,,0.6245,0.5318,
0.104,21.372174572676109,23.971434342093175,14.165425764432417,10.614182590767793,,0.6242,0.5317,
0.108,21.347447713241422,23.920978487072340,14.163920737801435,10.616709620269738,,0.6238,0.5316,
0.112,21.324852305139444,23.873462795519963,14.162203623822538,10.617462492646897,,0.6235,0.5315,
0.116,21.303401923077999,23.828250440620849,14.161502635933521,10.617216712925458,,0.6233,0.5314,
0.12,21.283201168885071,23.784099159226294,14.162267122153985,10.617210445780671,,0.6230,0.5313,
0.124,21.263354156226967,23.738635901207545,14.163034800630433,10.620540655965693,,0.6227,0.5312,
0.128,21.242823620329670,23.689077169588529,14.163887707939809,10.630059598801409,,0.6223,0.5310,
0.132,21.222969699037201,23.636006154200253,14.166788208625173,10.644834663083454,,0.6218,0.5308,
0.136,21.204257786629515,23.581900300831109,14.172345019901460,10.663743415755448,,0.6213,0.5305,
0.14,21.185501719110135,23.527873389994390,14.180888509012757,10.685969582655712,,0.6208,0.5303,
0.144,21.167193590751914,23.475054389819697,14.194697756989576,10.708985911377958,,0.6202,0.5301,
0.148,21.151368107995228,23.424941225215250,14.213955169992916,10.732697084229290,,0.6195,0.5299,
0.152,21.137384919129531,23.376365660915475,14.235405865610449,10.760283490650334,,0.6189,0.5297,
0.156,21.121738968845669,23.327124724519056,14.258641062593163,10.792757339010542,,0.6182,0.5295,
0.16010000002384187,21.104067386822614,23.278129233787574,14.286971310944278,10.828517693915419,,0.6174,0.5293,
0.16410000002384187,21.087364989791155,23.230232706161978,14.323315982724479,10.868194167869630,,0.6165,0.5291,
0.16810000002384184,21.074359726946515,23.185165299392906,14.368311856337193,10.914126071154289,,0.6155,0.5289,
0.17210000002384185,21.066901051389870,23.148290663150291,14.420338943301385,10.966061844831922,,0.6145,0.5287,
0.17610000002384185,21.067669354363900,23.122783018743114,14.478211105094557,11.022391740441726,,0.6136,0.5286,
0.18010000002384186,21.080120026736672,23.107965073738317,14.541642890133540,11.083263314885649,,0.6126,0.5284,
0.18410000002384186,21.104818314265856,23.103188547474161,14.608365543339783,11.149023074647037,,0.6117,0.5282,
0.18810000002384186,21.139824566895566,23.107896386096328,14.675243962139890,11.218170411463655,,0.6108,0.5279,
0.19210000002384187,21.184886853898476,23.122513368242693,14.743204350913388,11.290587672376404,,0.6100,0.5277,
0.19610000002384187,21.240202793518918,23.147453792472000,14.815581784094331,11.368360658885736,,0.6092,0.5274,
0.20010000002384185,21.302509363206241,23.179445276883072,14.890726094916932,11.451410402415725,,0.6084,0.5271,
0.20410000002384185,21.370922844241086,23.215049335431210,14.965415185913843,11.538971996119047,,0.6077,0.5268,
0.20810000002384185,21.447502929265241,23.251721639715264,15.039388769294884,11.631699714947576,,0.6070,0.5264,
0.21210000002384186,21.530200289642586,23.286472685256065,15.111050615711692,11.728513325263116,,0.6062,0.5259,
0.21610000002384186,21.617241709309809,23.317736382142563,15.179676331059353,11.827655345772794,,0.6055,0.5254,
0.22010000002384186,21.708832620619614,23.345246457295389,15.247603072507903,11.927803901228719,,0.6048,0.5248,
0.22410000002384187,21.802133244930740,23.368926244296624,15.314504242935371,12.025760851642669,,0.6041,0.5242,
0.22810000002384187,21.894759620486557,23.388827450065783,15.378211822154748,12.120563110910354,,0.6035,0.5236,
0.23210000002384185,21.986344739003101,23.405776157752616,15.438975108607499,12.213245309200282,,0.6028,0.5230,
0.23610000002384185,22.074511394556907,23.420083171192495,15.497248499373530,12.301100612219344,,0.6022,0.5224,
0.24,22.158221664680116,23.431644545980909,15.550932142771538,12.381546821620306,,0.6017,0.5218,
0.244,22.239847683591261,23.440470114714081,15.597846839822568,12.456943671434942,,0.6012,0.5213,
0.248,22.320207312443181,23.447898634752210,15.639077365292744,12.529732341701902,,0.6008,0.5207,
0.252,22.396583886329694,23.457899343091206,15.675899410567498,12.597568237317656,,0.6004,0.5202,
0.256,22.468720707967865,23.473476634724928,15.708176605007839,12.658685227047698,,0.6001,0.5197,
0.26,22.539888558676612,23.494751935350443,15.736273825371883,12.713396060019234,,0.6000,0.5193,
0.264,22.609982864492860,23.520833972042716,15.760921151469628,12.760160374124203,,0.5999,0.5189,
0.268,22.677874249247530,23.550476076799086,15.783258564113048,12.799762649413619,,0.5999,0.5186,
0.272,22.744804632209828,23.581792505205623,15.803166186549273,12.835695923265874,,0.5999,0.5183,
0.276,22.810163922159198,23.612890934557406,15.818826625414809,12.868385502765154,,0.6000,0.5181,
0.28,22.870716730102522,23.642785218066891,15.829298310089582,12.896058740356345,,0.6001,0.5178,
0.284,22.926382268442367,23.672281761840985,15.835192045780801,12.918030937888453,,0.6003,0.5176,
0.288,22.980006372075348,23.702975263354858,15.837388039950945,12.934372180579849,,0.6005,0.5174,
0.292,23.031332813418118,23.734635986976208,15.836588938173387,12.944780400686700,,0.6008,0.5172,
0.296,23.081440388264618,23.768268641034279,15.833400761377586,12.950567182417196,,0.6011,0.5171,
0.3,23.134758542349800,23.807412477083417,15.828179288517397,12.955413337451118,,0.6015,0.5169,
0.304,23.191823417846912,23.852128743238296,15.821558761771389,12.961177953623654,,0.6020,0.5168,
0.308,23.250526942859679,23.902027282647921,15.814240151095623,12.966576706125915,,0.6024,0.5166,
0.312,23.311029109565425,23.959230132693158,15.806949850682093,12.970092558782071,,0.6030,0.5166,
