KINVENT Physio 2.17.3,Devices: ,P126936 (FW 3.016),P126695 (FW 3.016),,,,
Eyes Condition: ,Closed,,,,,,
Side: ,Left,,,,,,
Repetition:,1,,,,,,
Longitudinal Mean Cop Position (mm),-29.523,,,,,,
Lateral Mean Cop Position (mm),1.64,,,,,,
Longitudinal Standard Deviation (mm),11.074,,,,,,
Lateral Standard Deviation (mm),7.602,,,,,,
Ellipse Surface (mm²),1551.553,,,,,,
Total Displacement (mm),1921.384,,,,,,
Total Displacement AP (mm),1150.915,,,,,,
Total Displacement ML (mm),1334.034,,,,,,
Mean Velocity (mm/s),63.969,,,,,,
Mean Velocity AP (mm/s),38.318,,,,,,
Mean Velocity ML (mm/s),44.415,,,,,,
Longitudinal Amplitude (mm/s),56.335,,,,,,
Lateral Amplitude (mm/s),38.348,,,,,,
Amplitude Ratio,0.681,,,,,,
Phase Plane AP (mm),46.37,,,,,,
Phase Plane ML (mm),43.286,,,,,,
Max Distance AP (mm),56.749,,,,,,
Max Distance ML (mm),21.789,,,,,,
,Heel,Tip,,,,,
Weight Distribution (%),60.1,39.9,,,,,
,,,,,,,
,K-Plate Left,,,,,K-Plate Left,
Time (sec),CHANNEL_1,CHANNEL_2,CHANNEL_3,CHANNEL_4,,AP COP (y),ML COP (x)
0,21.52190018,27.47870064,13.92475033,9.450699806,,0.6499,0.5521
0.004,21.57959938,27.51910019,13.99475002,9.55300045,,0.6489,0.5516
0.008,21.61370207,27.54252204,14.03552089,9.6112199,,0.6484,0.5514
0.012,21.63544501,27.55571172,14.06064235,9.6419286,,0.6481,0.5512
0.016,21.65234581,27.56237412,14.07970428,9.658122366,,0.6479,0.5512
0.02,21.66959159,27.56570184,14.10004655,9.672843593,,0.6477,0.5511
0.024,21.68739329,27.56705383,14.12643265,9.693599045,,0.6474,0.551
0.028,21.70508198,27.56505689,14.16089336,9.72270203,,0.6469,0.5509
0.032,21.72460671,27.55924315,14.20386282,9.76280884,,0.6463,0.5507
0.036,21.74810232,27.55158697,14.25508404,9.816546009,,0.6456,0.5504
0.0399,21.77678835,27.5432809,14.31341757,9.881962797,,0.6447,0.5501
0.0439,21.81111458,27.53507422,14.37967123,9.955157853,,0.6437,0.5498
0.0479,21.8505821,27.52878145,14.45423614,10.03381881,,0.6427,0.5494
0.0519,21.89381106,27.52626248,14.53236367,10.11520038,,0.6416,0.549
0.0559,21.94030931,27.52870115,14.61273268,10.19859666,,0.6406,0.5486
0.0599,21.99041222,27.53592436,14.69891627,10.28577227,,0.6395,0.5483
0.0639,22.04401414,27.54816212,14.78945979,10.37658305,,0.6383,0.5479
0.0679,22.10046677,27.56670131,14.87991975,10.46884067,,0.6373,0.5476
0.0719,22.15859569,27.59276209,14.96792718,10.56120128,,0.6362,0.5472
0.0759,22.21740904,27.62563,15.05315449,10.65352785,,0.6353,0.5469
0.0799,22.2759885,27.66021932,15.13633657,10.74478306,,0.6343,0.5466
0.0839,22.33274836,27.69034254,15.21919358,10.83489201,,0.6334,0.5463
0.0879,22.38607699,27.71326998,15.30310758,10.92520802,,0.6324,0.5459
0.0919,22.43483584,27.72843329,15.38610451,11.01583409,,0.6314,0.5456
0.0959,22.47904706,27.73431329,15.46623362,11.10616663,,0.6304,0.5452
0.0999,22.51916648,27.73007922,15.54372907,11.19461389,,0.6293,0.5449
0.1039,22.5545454,27.71787932,15.61795101,11.27813426,,0.6283,0.5445
0.1079,22.58473186,27.69854334,15.68859664,11.3561497,,0.6272,0.5441
0.1119,22.61018523,27.6696308,15.75601879,11.43067293,,0.6262,0.5438
